"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"DESCRIPTION";"DIGIKEY-PURCHASE-URL";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";"PROD_ID";"RS_PART_NUMBER";"RS_PRICE-STOCK";"SF_ID";"SPICEPREFIX";
"BT1";"3.7V-BAT";"6S-AA";"BAT_6S-AA";"";"Unavailable";" BATTERY HOLDER AA PC PIN ";"https://snapeda.com/shop?store=DigiKey&id=4389101";"";"";"";"MPD";"";"";"6S-AA";"";"";"";"None";"";"None";"";"";"";"";"";
"C1";"100nF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"";"";"";"C";
"C2";"100uF";"CPOL-US153CLV-0605";"153CLV-0605";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"8";"";"";"";"";"";"C";
"C3";"100nF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"";"";"";"C";
"C4";"47uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"";"";"";"C";
"C5";"47uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"";"";"";"C";
"C6";"100nF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"";"";"";"C";
"C7";"100nF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"";"";"";"C";
"C10";"100nF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"";"";"";"C";
"C11";"100nF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"";"";"";"C";
"CHARGING";"WS2812B5050";"WS2812B5050";"WS2812B";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"CHG+";"";"PINHD-1X1-BIGPOGO";"1X1-BIGPOGO";"Pin header 1x1 for 0.1" spacing";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"CHG-";"";"PINHD-1X1-BIGPOGO";"1X1-BIGPOGO";"Pin header 1x1 for 0.1" spacing";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D2";"SS14";"SS14";"DO214";"";"Unavailable";" Diode Schottky 40V 1A Surface Mount SMA (DO-214AC) ";"https://snapeda.com/shop?store=DigiKey&id=229686";"";"";"";"ON Semiconductor";"";"";"SS14";"";"";"";"DO-214AC-214 ON Semiconductor";"";"None";"";"";"";"";"";
"F1";"RUEF300K-2";"RUEF300K-2";"RUEF300K2";"TE CONNECTIVITY / RAYCHEM - RUEF300K-2 - RESETTABLE FUSE, PTC, 30V, 3A, RADIAL";"";"TE CONNECTIVITY / RAYCHEM - RUEF300K-2 - RESETTABLE FUSE, PTC, 30V, 3A, RADIAL";"";"16.5mm";"TE CONNECTIVITY / RAYCHEM";"RUEF300K-2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
