"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"COMMENT";"DESCRIPTION";"DIGIKEY-PURCHASE-URL";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";"RS_PART_NUMBER";"RS_PRICE-STOCK";"SF_ID";"SPICEPREFIX";
"R1";"10k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"45";"";"";"";"";"R";
"R2";"47k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"45";"";"";"";"";"R";
"R3";"10k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"45";"";"";"";"";"R";
"R4";"10k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"45";"";"";"";"";"R";
"R5";"10k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"45";"";"";"";"";"R";
"R6";"10k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"45";"";"";"";"";"R";
"R7";"10k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"45";"";"";"";"";"R";
"R8";"10k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"45";"";"";"";"";"R";
"R9";"10k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"45";"";"";"";"";"R";
"R14";"47";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"45";"";"";"";"";"R";
"R15";"47";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"45";"";"";"";"";"R";
"R16";"47";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"45";"";"";"";"";"R";
"R17";"47";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"45";"";"";"";"";"R";
"R18";"47";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"45";"";"";"";"";"R";
"R19";"10k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"45";"";"";"";"";"R";
"R20";"10k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"45";"";"";"";"";"R";
"R21";"10k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"45";"";"";"";"";"R";
"R22";"10k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"45";"";"";"";"";"R";
"R23";"10k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"45";"";"";"";"";"R";
"RB";"1k";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"45";"";"";"";"";"R";
"S1";"2-1437565-9";"2-1437565-9";"SW_2-1437565-9";"";"Unavailable";"2-1437565-9";" Tactile Switch SPST-NO Top Actuated Surface Mount ";"";"";"";"";"TE Connectivity";"";"";"2-1437565-9";"";"";"";"SMD-6 Omron Electronics";"";"None";"";"";"";"";
"STATE";"WS2812B5050";"WS2812B5050";"WS2812B";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"SW1";"CS12ANW03";"CS12ANW03";"CS12ANW03";"";"Unavailable";"";" Slide Switch SPDT Through Hole ";"https://snapeda.com/shop?store=DigiKey&id=478299";"";"";"";"NKK Switches";"";"";"CS12ANW03";"";"";"";"None";"";"None";"";"";"";"";
"T1";"";"CONN_01SPRING-CONN";"SPRING-CONNECTOR";"Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"PRT-11822";"";
"T2";"";"CONN_01SPRING-CONN";"SPRING-CONNECTOR";"Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"PRT-11822";"";
"U1";"ESP32-WROOM-32D";"ESP32-WROOM-32D";"MODULE_ESP32-WROOM-32D";"Bluetooth, WiFi 802.11b/g/n, Bluetooth v4.2 + EDR, Class 1, 2 and 3 Transceiver Module 2.4GHz ~ 2.5GHz Integrated, Trace Surface Mount";"Unavailable";"";" Bluetooth, WiFi 802.11b/g/n, Bluetooth v4.2 +EDR, Class 1, 2 and 3 Transceiver Module 2.4GHz ~ 2.5GHz Integrated, Trace Surface Mount ";"";"";"";"";"Espressif Systems";"";"";"ESP32-WROOM-32D";"";"";"";"Module Espressif Systems";"";"None";"";"";"";"";
"U2";"L293D";"L293D";"DIL16";"PUSH-PULL 4 CHANNEL DRIVER";"";"";"";"";"";"";"";"";"";"";"";"L293D";"9589619";"56P8249";"";"";"";"";"";"";"";
"U3";"AP2112K-3.3";"AP2112K-3.3TRG1";"SOT95P285X140-5N";"AP2112 Series 0.6 A 3.3 V Fixed Output SMT LDO Linear Regulator - SOT23-5";"Unavailable";"";" Linear Voltage Regulator IC 1 Output 600mA SOT-25 ";"";"";"";"";"Diodes Inc.";"";"";"AP2112K-3.3TRG1";"";"";"";"SOT-753 Diodes Inc.";"";"None";"";"";"";"";
"U4";"CE8301";"MCP1702T-3302E/MB";"REG_MCP1702T-3302E/MB";"MCP1702 Series 250 mA 3.3 V Fixed Output Surface Mount LDO Regulator - SOT-89";"Unavailable";"";" Linear Voltage Regulator IC 1 Output 250mA SOT-89-3 ";"";"";"";"";"Microchip";"";"";"MCP1702T-3302E/MB";"";"";"";"SOT-89 Microchip";"";"None";"";"";"";"";
